Region,variation_start_date,Gender,Variation_IN,Contract Terminatio Reason,Seniority_class,Age_class,Qty_Z1_Days,Qty_Z2_Days,Qty_Z3_Days,Qty_P1_Days,Qty_P2_Days,Qty_P3_Days,Qty_A1_Days,Qty_A2_Days,unique ID
Région Flamande,2017-11-01,Femme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,50
Région Flamande,2017-11-01,Femme,IN,Préavis travailleur,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-11-01,Femme,IN,Préavis travailleur,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Femme,IN,Préavis travailleur,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-11-01,Femme,IN,Préavis travailleur,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-11-01,Femme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-11-01,Femme,IN,Unregistered,<6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-11-01,Femme,IN,Unregistered,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Femme,IN,Unregistered,<6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Femme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Autre firme,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,De commun accord,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Faute grave,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,23
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,7
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,54
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,71
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,22
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,60
Région Flamande,2017-11-01,Homme,IN,Préavis travailleur,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-11-01,Homme,IN,Préavis travailleur,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Raison inconnue,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-11-01,Homme,IN,Raison inconnue,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,7
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,30-40,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,7
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-11-01,Homme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2017-11-01,Homme,IN,mod.unil.travailleur,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,11
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,18
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,39
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,48
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,43
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2017-12-01,Femme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,51
Région Flamande,2017-12-01,Femme,IN,Préavis travailleur,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Préavis travailleur,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Préavis travailleur,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Préavis travailleur,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-12-01,Femme,IN,Préavis travailleur,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Femme,IN,Unregistered,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-12-01,Femme,IN,Unregistered,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-12-01,Femme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Autre firme,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Autre firme,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-12-01,Homme,IN,De commun accord,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,24
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,7
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,68
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,7
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,43
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,35
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2017-12-01,Homme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,44
Région Flamande,2017-12-01,Homme,IN,Raison inconnue,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-12-01,Homme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Unregistered,<6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Unregistered,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2017-12-01,Homme,IN,Unregistered,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2017-12-01,Homme,IN,Unregistered,<6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-12-01,Homme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2018-01-01,Femme,IN,Autre firme,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Femme,IN,Autre firme,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,13
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,35
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,61
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,60
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Femme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,61
Région Flamande,2018-01-01,Femme,IN,Raison inconnue,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2018-01-01,Femme,IN,Unregistered,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-01-01,Homme,IN,Autre firme,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2018-01-01,Homme,IN,Autre firme,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,8
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,65
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,35
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,15
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2018-01-01,Homme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,37
Région Flamande,2018-01-01,Homme,IN,Raison inconnue,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-01-01,Homme,IN,Raison inconnue,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-01-01,Homme,IN,Unregistered,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-01-01,Homme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2018-01-01,Homme,IN,Unregistered,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,10
Région Flamande,2018-01-01,Homme,IN,Unregistered,<6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2018-01-01,Homme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,6
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,23
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,51
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,29
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-02-01,Femme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,45
Région Flamande,2018-02-01,Femme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2018-02-01,Femme,IN,Unregistered,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-02-01,Femme,IN,Unregistered,<6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2018-02-01,Femme,IN,Unregistered,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2018-02-01,Femme,IN,Unregistered,<6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2018-02-01,Femme,IN,Unregistered,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2018-02-01,Homme,IN,Fin du contrat,<6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,8
Région Flamande,2018-02-01,Homme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,46
Région Flamande,2018-02-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,20
Région Flamande,2018-02-01,Homme,IN,Fin du contrat,<6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,13
Région Flamande,2018-02-01,Homme,IN,Fin du contrat,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,27
Région Flamande,2018-02-01,Homme,IN,Unregistered,<6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2018-02-01,Homme,IN,Unregistered,<6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2018-02-01,Homme,IN,Unregistered,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-02-01,Homme,IN,Unregistered,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-02-01,Homme,IN,Unregistered,<6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-03-01,Femme,IN,Fin du contrat,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2018-03-01,Femme,IN,Unregistered,<6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2018-03-01,Homme,IN,Fin du contrat,<6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,11
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,40-50,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Wallonne,2016-04-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,9
